Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Chrome 63.0.3239.84,,2018-01-04 15:59:38,2018-01-04 16:10:04,10m - 26.566s,FAILED
,,,,,,
Test Cases/MQ_Smoke_Scenario/Air/1_CSR_Create_MQ_AIR,Chrome 63.0.3239.84,,2018-01-04 15:59:38,2018-01-04 16:01:14,1m - 36.298s,FAILED
new1.SignInIE.As,Chrome 63.0.3239.84,,2018-01-04 15:59:39,2018-01-04 15:59:54,14.936s,PASSED
fn.Create.mutiQuote,Chrome 63.0.3239.84,,2018-01-04 15:59:54,2018-01-04 16:00:00,6.322s,PASSED
selectOptionByLabel,Chrome 63.0.3239.84,Air Freight,2018-01-04 16:00:00,2018-01-04 16:00:00,0.372s,PASSED
selectOptionByLabel,Chrome 63.0.3239.84,Expedited   Premier  Value,2018-01-04 16:00:00,2018-01-04 16:00:00,0.183s,PASSED
selectOptionByLabel,Chrome 63.0.3239.84,,2018-01-04 16:00:00,2018-01-04 16:00:01,0.320s,PASSED
selectOptionByLabel,Chrome 63.0.3239.84,,2018-01-04 16:00:01,2018-01-04 16:00:01,0.307s,PASSED
fn.Search.multiple,Chrome 63.0.3239.84,,2018-01-04 16:00:01,2018-01-04 16:00:09,8.451s,PASSED
fn.Search.multiple,Chrome 63.0.3239.84,,2018-01-04 16:00:09,2018-01-04 16:00:13,3.142s,PASSED
selectOptionByLabel,Chrome 63.0.3239.84,,2018-01-04 16:00:13,2018-01-04 16:00:13,0.165s,PASSED
selectOptionByLabel,Chrome 63.0.3239.84,,2018-01-04 16:00:13,2018-01-04 16:00:13,0.122s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 16:00:13,2018-01-04 16:00:13,0.087s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 16:00:13,2018-01-04 16:00:13,0.089s,PASSED
takeScreenshot,Chrome 63.0.3239.84,,2018-01-04 16:00:13,2018-01-04 16:00:14,0.437s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 16:00:14,2018-01-04 16:00:21,7.919s,PASSED
fn.DragAndDropUnique.portCodesAir,Chrome 63.0.3239.84,,2018-01-04 16:00:21,2018-01-04 16:00:24,2.441s,PASSED
fn.Create.MQ_with_AgilityTariff,Chrome 63.0.3239.84,,2018-01-04 16:00:24,2018-01-04 16:00:48,23.696s,PASSED
Statement - MQ_No = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/MQ/QuoteInfoPage/getQuoteNo)),Chrome 63.0.3239.84,,2018-01-04 16:00:48,2018-01-04 16:00:48,0.100s,PASSED
Statement - err.println(MQ_No),Chrome 63.0.3239.84,,2018-01-04 16:00:48,2018-01-04 16:00:48,0.000s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 16:00:48,2018-01-04 16:00:51,3.185s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 16:00:51,2018-01-04 16:00:51,0.435s,PASSED
takeScreenshot,Chrome 63.0.3239.84,,2018-01-04 16:00:51,2018-01-04 16:00:52,0.390s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-04 16:00:52,2018-01-04 16:00:53,1.001s,PASSED
scrollToElement,Chrome 63.0.3239.84,,2018-01-04 16:00:53,2018-01-04 16:00:53,0.081s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 16:00:53,2018-01-04 16:00:58,5.189s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2018-01-04 16:00:58,2018-01-04 16:00:58,0.023s,PASSED
waitForJQueryLoad,Chrome 63.0.3239.84,,2018-01-04 16:00:58,2018-01-04 16:00:59,0.539s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 16:00:59,2018-01-04 16:01:02,3.833s,PASSED
fn.Select.Customer,Chrome 63.0.3239.84,,2018-01-04 16:01:02,2018-01-04 16:01:07,4.147s,PASSED
fn.Submit_To.QuoteApprover,Chrome 63.0.3239.84,,2018-01-04 16:01:07,2018-01-04 16:01:14,7.891s,FAILED
,,,,,,
Test Cases/MQ_Smoke_Scenario/FCL/1_CSR_Create_MQ_FCL,Chrome 63.0.3239.84,,2018-01-04 16:01:14,2018-01-04 16:04:47,3m - 32.798s,FAILED
new1.SignInIE.As,Chrome 63.0.3239.84,,2018-01-04 16:01:15,2018-01-04 16:04:16,3m - 0.944s,PASSED
fn.Create.mutiQuote,Chrome 63.0.3239.84,,2018-01-04 16:04:16,2018-01-04 16:04:47,31.659s,FAILED
,,,,,,
Test Cases/MQ_Smoke_Scenario/LCL/1_CSR_Create_MQ_LCL,Chrome 63.0.3239.84,,2018-01-04 16:04:47,2018-01-04 16:10:04,5m - 16.946s,PASSED
new1.SignInIE.As,Chrome 63.0.3239.84,,2018-01-04 16:04:48,2018-01-04 16:05:44,56.044s,PASSED
fn.Create.mutiQuote,Chrome 63.0.3239.84,,2018-01-04 16:05:44,2018-01-04 16:06:58,1m - 13.989s,PASSED
