Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/MQ_Smoke_Scenario/FCL/1_CSR_Create_MQ_FCL,Chrome 63.0.3239.132,,2018-01-09 12:06:41,2018-01-09 12:08:06,1m - 24.700s,PASSED
new1.SignInIE.As,Chrome 63.0.3239.132,,2018-01-09 12:06:42,2018-01-09 12:07:01,19.711s,PASSED
fn.Create.mutiQuote,Chrome 63.0.3239.132,,2018-01-09 12:07:01,2018-01-09 12:07:04,2.365s,PASSED
fn.ValidateProduct.productType,Chrome 63.0.3239.132,,2018-01-09 12:07:04,2018-01-09 12:07:04,0.349s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:07:04,2018-01-09 12:07:13,8.715s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:07:13,2018-01-09 12:07:16,2.894s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:07:16,2018-01-09 12:07:16,0.233s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:07:16,2018-01-09 12:07:16,0.095s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:07:16,2018-01-09 12:07:16,0.067s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:07:16,2018-01-09 12:07:16,0.366s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:07:16,2018-01-09 12:07:23,6.373s,PASSED
fn.DragAndDropUnique.portCodesFCL,Chrome 63.0.3239.132,,2018-01-09 12:07:23,2018-01-09 12:07:24,1.362s,PASSED
fn.Create.MQ_with_AgilityTariff,Chrome 63.0.3239.132,,2018-01-09 12:07:24,2018-01-09 12:07:41,16.319s,PASSED
Statement - MQ_No = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/MQ/QuoteInfoPage/getQuoteNo)),Chrome 63.0.3239.132,,2018-01-09 12:07:41,2018-01-09 12:07:41,0.163s,PASSED
Statement - err.println(MQ_No),Chrome 63.0.3239.132,,2018-01-09 12:07:41,2018-01-09 12:07:41,0.000s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:07:41,2018-01-09 12:07:44,3.436s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:07:44,2018-01-09 12:07:45,0.442s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:07:45,2018-01-09 12:07:45,0.334s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 12:07:45,2018-01-09 12:07:46,1.003s,PASSED
scrollToElement,Chrome 63.0.3239.132,,2018-01-09 12:07:46,2018-01-09 12:07:46,0.128s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:07:46,2018-01-09 12:07:49,3.222s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-09 12:07:49,2018-01-09 12:07:49,0.010s,PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-09 12:07:49,2018-01-09 12:07:49,0.014s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:07:49,2018-01-09 12:07:51,2.188s,PASSED
fn.Select.Customer,Chrome 63.0.3239.132,,2018-01-09 12:07:51,2018-01-09 12:07:56,4.114s,PASSED
fn.Submit_To.QuoteApprover,Chrome 63.0.3239.132,,2018-01-09 12:07:56,2018-01-09 12:08:05,9.699s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-09 12:08:05,2018-01-09 12:08:06,0.877s,PASSED
,,,,,,
Test Cases/MQ_Smoke_Scenario/LCL/1_CSR_Create_MQ_LCL,Chrome 63.0.3239.132,,2018-01-09 12:08:06,2018-01-09 12:09:22,1m - 15.754s,PASSED
new1.SignInIE.As,Chrome 63.0.3239.132,,2018-01-09 12:08:06,2018-01-09 12:08:22,15.619s,PASSED
fn.Create.mutiQuote,Chrome 63.0.3239.132,,2018-01-09 12:08:22,2018-01-09 12:08:25,2.505s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,Ocean Freight,2018-01-09 12:08:25,2018-01-09 12:08:25,0.136s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,LCL (NVOCC),2018-01-09 12:08:25,2018-01-09 12:08:25,0.138s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:08:25,2018-01-09 12:08:32,7.478s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:08:32,2018-01-09 12:08:35,3.031s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:08:35,2018-01-09 12:08:35,0.120s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:08:35,2018-01-09 12:08:36,0.112s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:08:36,2018-01-09 12:08:36,0.082s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:08:36,2018-01-09 12:08:36,0.369s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:08:36,2018-01-09 12:08:41,4.453s,PASSED
fn.DragAndDropUnique.portCodesLCL,Chrome 63.0.3239.132,,2018-01-09 12:08:41,2018-01-09 12:08:42,1.240s,PASSED
fn.Create.MQ_with_AgilityTariff,Chrome 63.0.3239.132,,2018-01-09 12:08:42,2018-01-09 12:08:54,12.602s,PASSED
Statement - MQ_No = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/MQ/QuoteInfoPage/getQuoteNo)),Chrome 63.0.3239.132,,2018-01-09 12:08:54,2018-01-09 12:08:54,0.135s,PASSED
Statement - err.println(MQ_No),Chrome 63.0.3239.132,,2018-01-09 12:08:54,2018-01-09 12:08:54,0.000s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:08:54,2018-01-09 12:08:58,3.301s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:08:58,2018-01-09 12:08:58,0.405s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:08:58,2018-01-09 12:08:59,0.352s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 12:08:59,2018-01-09 12:09:00,1.004s,PASSED
scrollToElement,Chrome 63.0.3239.132,,2018-01-09 12:09:00,2018-01-09 12:09:00,0.095s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:09:00,2018-01-09 12:09:09,9.375s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-09 12:09:09,2018-01-09 12:09:09,0.012s,PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-09 12:09:09,2018-01-09 12:09:09,0.028s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:09:09,2018-01-09 12:09:11,1.744s,PASSED
fn.Select.Customer,Chrome 63.0.3239.132,,2018-01-09 12:09:11,2018-01-09 12:09:15,4.087s,PASSED
fn.Submit_To.QuoteApprover,Chrome 63.0.3239.132,,2018-01-09 12:09:15,2018-01-09 12:09:21,6.198s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-09 12:09:21,2018-01-09 12:09:22,0.894s,PASSED
