Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Chrome 63.0.3239.132,,2018-01-09 12:04:39,2018-01-09 12:09:22,4m - 42.807s,PASSED
,,,,,,
Test Cases/MQ_Smoke_Scenario/Air/1_CSR_Create_MQ_AIR,Chrome 63.0.3239.132,,2018-01-09 12:04:40,2018-01-09 12:06:41,2m - 1.532s,PASSED
new1.SignInIE.As,Chrome 63.0.3239.132,,2018-01-09 12:04:40,2018-01-09 12:05:02,21.300s,PASSED
fn.Create.mutiQuote,Chrome 63.0.3239.132,,2018-01-09 12:05:02,2018-01-09 12:05:13,11.535s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,Air Freight,2018-01-09 12:05:13,2018-01-09 12:05:14,0.186s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,Expedited   Premier  Value,2018-01-09 12:05:14,2018-01-09 12:05:14,0.169s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:05:14,2018-01-09 12:05:14,0.282s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:05:14,2018-01-09 12:05:14,0.359s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:05:14,2018-01-09 12:05:23,8.223s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:05:23,2018-01-09 12:05:25,2.909s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:05:25,2018-01-09 12:05:26,0.255s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:05:26,2018-01-09 12:05:26,0.121s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:05:26,2018-01-09 12:05:26,0.087s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:05:26,2018-01-09 12:05:26,0.120s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:05:26,2018-01-09 12:05:27,0.485s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:05:27,2018-01-09 12:05:32,5.557s,PASSED
fn.DragAndDropUnique.portCodesAir,Chrome 63.0.3239.132,,2018-01-09 12:05:32,2018-01-09 12:05:34,1.821s,PASSED
fn.Create.MQ_with_AgilityTariff,Chrome 63.0.3239.132,,2018-01-09 12:05:34,2018-01-09 12:06:11,36.792s,PASSED
Statement - MQ_No = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/MQ/QuoteInfoPage/getQuoteNo)),Chrome 63.0.3239.132,,2018-01-09 12:06:11,2018-01-09 12:06:11,0.152s,PASSED
Statement - err.println(MQ_No),Chrome 63.0.3239.132,,2018-01-09 12:06:11,2018-01-09 12:06:11,0.000s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:06:11,2018-01-09 12:06:14,3.200s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:06:14,2018-01-09 12:06:14,0.426s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:06:14,2018-01-09 12:06:15,0.393s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 12:06:15,2018-01-09 12:06:16,1.004s,PASSED
scrollToElement,Chrome 63.0.3239.132,,2018-01-09 12:06:16,2018-01-09 12:06:16,0.109s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:06:16,2018-01-09 12:06:20,3.978s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-09 12:06:20,2018-01-09 12:06:20,0.011s,PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-09 12:06:20,2018-01-09 12:06:20,0.019s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:06:20,2018-01-09 12:06:28,8.107s,PASSED
fn.Select.Customer,Chrome 63.0.3239.132,,2018-01-09 12:06:28,2018-01-09 12:06:32,4.245s,PASSED
fn.Submit_To.QuoteApprover,Chrome 63.0.3239.132,,2018-01-09 12:06:32,2018-01-09 12:06:40,8.079s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-09 12:06:40,2018-01-09 12:06:41,0.923s,PASSED
,,,,,,
