Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Chrome 63.0.3239.132,,2018-01-09 12:16:26,2018-01-09 12:16:29,3.374s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:16:29,2018-01-09 12:16:29,0.441s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:16:29,2018-01-09 12:16:30,0.400s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 12:16:30,2018-01-09 12:16:31,1.032s,PASSED
scrollToElement,Chrome 63.0.3239.132,,2018-01-09 12:16:31,2018-01-09 12:16:31,0.086s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:16:31,2018-01-09 12:16:34,3.394s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-09 12:16:34,2018-01-09 12:16:34,0.019s,PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-09 12:16:34,2018-01-09 12:16:34,0.017s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:16:34,2018-01-09 12:16:36,1.864s,PASSED
fn.Select.Customer,Chrome 63.0.3239.132,,2018-01-09 12:16:36,2018-01-09 12:16:40,4.005s,PASSED
fn.Submit_To.QuoteApprover,Chrome 63.0.3239.132,,2018-01-09 12:16:40,2018-01-09 12:16:46,5.619s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-09 12:16:46,2018-01-09 12:16:47,0.845s,PASSED
,,,,,,
Test Cases/MQ_Smoke_Scenario/LCL/1_CSR_Create_MQ_LCL,Chrome 63.0.3239.132,,2018-01-09 12:16:47,2018-01-09 12:18:02,1m - 14.925s,PASSED
new1.SignInIE.As,Chrome 63.0.3239.132,,2018-01-09 12:16:47,2018-01-09 12:17:07,19.641s,PASSED
fn.Create.mutiQuote,Chrome 63.0.3239.132,,2018-01-09 12:17:07,2018-01-09 12:17:09,2.641s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,Ocean Freight,2018-01-09 12:17:09,2018-01-09 12:17:09,0.136s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,LCL (NVOCC),2018-01-09 12:17:09,2018-01-09 12:17:09,0.142s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:17:09,2018-01-09 12:17:17,7.710s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:17:17,2018-01-09 12:17:20,3.179s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:17:20,2018-01-09 12:17:20,0.171s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:17:20,2018-01-09 12:17:21,0.108s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:17:21,2018-01-09 12:17:21,0.104s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:17:21,2018-01-09 12:17:21,0.371s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:17:21,2018-01-09 12:17:26,4.791s,PASSED
fn.DragAndDropUnique.portCodesLCL,Chrome 63.0.3239.132,,2018-01-09 12:17:26,2018-01-09 12:17:27,1.401s,PASSED
fn.Create.MQ_with_AgilityTariff,Chrome 63.0.3239.132,,2018-01-09 12:17:27,2018-01-09 12:17:40,12.684s,PASSED
Statement - MQ_No = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/MQ/QuoteInfoPage/getQuoteNo)),Chrome 63.0.3239.132,,2018-01-09 12:17:40,2018-01-09 12:17:40,0.133s,PASSED
Statement - err.println(MQ_No),Chrome 63.0.3239.132,,2018-01-09 12:17:40,2018-01-09 12:17:40,0.000s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:17:40,2018-01-09 12:17:43,3.188s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:17:43,2018-01-09 12:17:44,0.403s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:17:44,2018-01-09 12:17:44,0.407s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 12:17:44,2018-01-09 12:17:45,1.002s,PASSED
scrollToElement,Chrome 63.0.3239.132,,2018-01-09 12:17:45,2018-01-09 12:17:45,0.079s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:17:45,2018-01-09 12:17:49,3.356s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-09 12:17:49,2018-01-09 12:17:49,0.011s,PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-09 12:17:49,2018-01-09 12:17:49,0.536s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:17:49,2018-01-09 12:17:51,1.895s,PASSED
fn.Select.Customer,Chrome 63.0.3239.132,,2018-01-09 12:17:51,2018-01-09 12:17:55,3.988s,PASSED
fn.Submit_To.QuoteApprover,Chrome 63.0.3239.132,,2018-01-09 12:17:55,2018-01-09 12:18:01,5.821s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-09 12:18:01,2018-01-09 12:18:02,0.847s,PASSED
